BatterySteve 1.2.2 on 1000(01g, TA-082) CPU:[333/166] B:[72]
rt:02:04:59, batt:63, eq:1077 mAh /1800 mAh , bV:3.58V v, life:02:45  min, fps:20
rt:02:05:29, batt:63, eq:1075 mAh /1800 mAh , bV:3.59V v, life:02:46  min, fps:20
rt:02:06:00, batt:63, eq:1071 mAh /1800 mAh , bV:3.59V v, life:02:41  min, fps:20
rt:02:06:30, batt:63, eq:1068 mAh /1800 mAh , bV:3.59V v, life:02:43  min, fps:20
rt:02:07:00, batt:63, eq:1065 mAh /1800 mAh , bV:3.58V v, life:02:41  min, fps:20
rt:02:07:30, batt:62, eq:1062 mAh /1800 mAh , bV:3.58V v, life:02:42  min, fps:20
rt:02:08:00, batt:62, eq:1060 mAh /1800 mAh , bV:3.58V v, life:02:41  min, fps:20
rt:02:08:30, batt:62, eq:1057 mAh /1800 mAh , bV:3.58V v, life:02:40  min, fps:20
rt:02:08:59, batt:62, eq:1054 mAh /1800 mAh , bV:3.57V v, life:02:40  min, fps:20
rt:02:09:29, batt:62, eq:1051 mAh /1800 mAh , bV:3.58V v, life:02:39  min, fps:20
rt:02:09:59, batt:62, eq:1047 mAh /1800 mAh , bV:3.58V v, life:02:37  min, fps:20
rt:02:10:29, batt:61, eq:1044 mAh /1800 mAh , bV:3.57V v, life:02:38  min, fps:20
